,controller_name,episode,reward_mean,reward_sum,query_cost_mean,query_cost_sum,query_cost_weight,accuracy_cost_mean,accuracy_cost_sum,accuracy_weight,cloud_query_budget_frac
0,pure_oracle,186,-0.5865384615384616,-61.0,0.5865384615384616,61.0,1.0,0.0,0.0,10.0,0.15
0,pure_oracle,702,-0.780952380952381,-82.0,0.780952380952381,82.0,1.0,0.0,0.0,10.0,0.9
0,pure_oracle,192,-0.7047619047619048,-74.0,0.7047619047619048,74.0,1.0,0.0,0.0,10.0,0.15
0,pure_oracle,708,-0.8571428571428571,-90.0,0.8571428571428571,90.0,1.0,0.0,0.0,10.0,0.9
0,pure_oracle,198,-0.5784313725490197,-59.0,0.5784313725490197,59.0,1.0,0.0,0.0,10.0,0.15
0,pure_oracle,714,-0.5346534653465347,-54.0,0.5346534653465347,54.0,1.0,0.0,0.0,10.0,0.9
0,pure_oracle,204,-0.5825242718446602,-60.0,0.5825242718446602,60.0,1.0,0.0,0.0,10.0,0.15
0,pure_oracle,720,-0.625,-65.0,0.625,65.0,1.0,0.0,0.0,10.0,0.9
0,pure_oracle,210,-0.7047619047619048,-74.0,0.7047619047619048,74.0,1.0,0.0,0.0,10.0,0.15
0,pure_oracle,726,-0.5523809523809524,-58.0,0.5523809523809524,58.0,1.0,0.0,0.0,10.0,0.95
0,pure_oracle,216,-0.5904761904761905,-62.0,0.5904761904761905,62.0,1.0,0.0,0.0,10.0,0.15
0,pure_oracle,732,-0.8952380952380953,-94.0,0.8952380952380953,94.0,1.0,0.0,0.0,10.0,0.95
0,pure_oracle,222,-0.7047619047619048,-74.0,0.7047619047619048,74.0,1.0,0.0,0.0,10.0,0.15
0,pure_oracle,738,-0.5523809523809524,-58.0,0.5523809523809524,58.0,1.0,0.0,0.0,10.0,0.95
0,pure_oracle,228,-1.276190476190476,-134.0,0.7047619047619048,74.0,1.0,0.05714285714285714,6.0,10.0,0.15
0,pure_oracle,744,-0.5142857142857142,-54.0,0.5142857142857142,54.0,1.0,0.0,0.0,10.0,0.95
0,pure_oracle,234,-0.5346534653465347,-54.0,0.5346534653465347,54.0,1.0,0.0,0.0,10.0,0.15
0,pure_oracle,750,-0.3619047619047619,-38.0,0.3619047619047619,38.0,1.0,0.0,0.0,10.0,0.95
0,pure_oracle,240,-0.625,-65.0,0.625,65.0,1.0,0.0,0.0,10.0,0.15
0,pure_oracle,756,-0.6285714285714286,-66.0,0.6285714285714286,66.0,1.0,0.0,0.0,10.0,0.95
